Date,cad,oil
2016-06-09,1.2724,12.25
2016-06-08,1.2686,12.43
2016-06-07,1.2798,12.22
2016-06-06,1.2841,12.04
2016-06-03,1.2959,11.82
2016-06-02,1.3115,11.86
2016-06-01,1.3091,11.93
2016-05-31,1.3077,11.87
2016-05-27,1.3033,11.98
2016-05-26,1.2982,11.95
2016-05-25,1.3085,12.03
2016-05-24,1.3097,11.82
2016-05-23,1.3157,11.66
2016-05-20,1.3127,11.75
2016-05-19,1.3144,11.79
2016-05-18,1.294,11.7
2016-05-17,1.2903,11.92
2016-05-16,1.2898,11.76
2016-05-13,1.2937,11.37
2016-05-12,1.2812,11.45
2016-05-11,1.2852,11.34
2016-05-10,1.2947,10.99
2016-05-09,1.2975,10.68
2016-05-06,1.2923,10.96
2016-05-05,1.2857,10.9
2016-05-04,1.2862,10.79
2016-05-03,1.2694,10.74
2016-04-29,1.2525,11.3
2016-04-28,1.2542,11.22
2016-04-27,1.265,11.14
2016-04-26,1.262,10.81
2016-04-25,1.2664,10.55
2016-04-22,1.2647,10.76
2016-04-21,1.271,10.72
2016-04-20,1.2661,10.76
2016-04-19,1.2649,10.44
2016-04-18,1.2844,10.17
2016-04-15,1.2877,10.25
2016-04-14,1.2839,10.48
2016-04-13,1.2777,10.51
2016-04-12,1.2849,10.64
2016-04-11,1.2918,10.28
2016-04-08,1.2974,10.03
2016-04-07,1.3161,9.51
2016-04-06,1.3148,9.6
2016-04-05,1.3181,9.13
2016-04-04,1.3054,9.08
2016-04-01,1.3093,9.33
2016-03-31,1.2932,9.7
2016-03-30,1.294,9.73
2016-03-29,1.3163,9.8
2016-03-24,1.3272,10.06
2016-03-23,1.3203,10.11
2016-03-22,1.3053,10.54
2016-03-21,1.3067,10.59
2016-03-18,1.2984,10.48
2016-03-17,1.2982,10.55
2016-03-16,1.3364,10.18
2016-03-15,1.3358,9.7
2016-03-14,1.3293,9.88
2016-03-11,1.3242,10.19
2016-03-10,1.3329,10.04
2016-03-09,1.3301,10.15
2016-03-08,1.3409,9.65
2016-03-07,1.3296,10.11
2016-03-04,1.3362,9.65
2016-03-03,1.3379,9.25
2016-03-02,1.3445,9.3
2016-03-01,1.3444,9.15
2016-02-29,1.3555,9.0
2016-02-26,1.3539,8.78
2016-02-25,1.3598,8.8
2016-02-24,1.3778,8.59
2016-02-23,1.3801,8.48
2016-02-22,1.3687,8.91
2016-02-19,1.3838,8.55
2016-02-18,1.3683,8.66
2016-02-17,1.3693,8.78
2016-02-16,1.3893,8.31
2016-02-12,1.3902,8.33
2016-02-11,1.3981,7.99
2016-02-10,1.3922,7.96
2016-02-09,1.3822,8.18
2016-02-08,1.3969,8.64
2016-02-05,1.385,8.91
2016-02-04,1.3687,9.12
2016-02-03,1.3842,9.34
2016-02-02,1.4071,8.57
2016-02-01,1.4007,9.02
2016-01-29,1.4075,9.65
2016-01-28,1.4088,9.7
2016-01-27,1.4091,9.18
2016-01-26,1.4094,8.97
2016-01-25,1.4236,8.54
2016-01-22,1.4133,9.27
2016-01-21,1.4336,8.56
2016-01-20,1.4647,8.24
2016-01-19,1.4523,8.49
2016-01-15,1.4484,8.79
2016-01-14,1.4357,9.23
2016-01-13,1.4257,9.09
2016-01-12,1.4273,9.17
2016-01-11,1.4189,9.25
2016-01-08,1.4157,9.8
2016-01-07,1.4067,9.9
2016-01-06,1.4092,10.11
2016-01-05,1.3984,10.66
2016-01-04,1.3943,10.98
2015-12-31,1.389,11.0
2015-12-30,1.3887,10.93
2015-12-29,1.3845,11.26
2015-12-24,1.3866,11.3
2015-12-23,1.3858,11.26
2015-12-22,1.3939,10.77
2015-12-21,1.398,10.66
2015-12-18,1.3894,10.66
2015-12-17,1.3942,10.74
2015-12-16,1.3828,10.99
2015-12-15,1.3756,11.4
2015-12-14,1.3748,11.16
2015-12-11,1.3705,11.07
2015-12-10,1.3591,11.37
2015-12-09,1.3556,11.56
2015-12-08,1.3556,11.68
2015-12-07,1.3485,11.72
2015-12-04,1.335,12.46
2015-12-03,1.3393,12.77
2015-12-02,1.335,12.48
2015-12-01,1.3372,12.95
2015-11-30,1.332,12.93
2015-11-27,1.3367,13.03
2015-11-25,1.3314,13.39
2015-11-24,1.3335,13.32
2015-11-23,1.336,13.02
2015-11-20,1.3334,12.93
2015-11-19,1.3269,12.96
2015-11-18,1.3341,13.05
2015-11-17,1.3321,13.01
2015-11-16,1.3369,13.39
2015-11-13,1.3345,13.06
2015-11-12,1.3305,13.35
2015-11-11,1.3271,13.76
2015-11-10,1.3268,14.09
2015-11-09,1.3276,14.08
2015-11-06,1.3294,14.23
2015-11-05,1.3164,14.48
2015-11-04,1.3138,14.85
2015-11-03,1.3112,15.28
2015-11-02,1.3090000000000002,14.75
2015-10-30,1.3084,14.81
2015-10-29,1.317,14.63
2015-10-28,1.315,14.69
2015-10-27,1.3242,13.82
2015-10-26,1.3135,14.01
2015-10-23,1.3153,14.27
2015-10-22,1.3114,14.51
2015-10-21,1.3098,14.43
2015-10-20,1.2944,14.73
2015-10-19,1.2976,14.83
2015-10-16,1.2919,15.22
2015-10-15,1.2888,15.13
2015-10-14,1.2995,15.05
2015-10-13,1.2976,15.06
2015-10-12,1.2959,15.31
2015-10-09,1.2926,15.99
2015-10-08,1.305,16.040001
2015-10-07,1.3011,15.57
2015-10-06,1.3071,15.74
2015-10-05,1.3104,15.0
2015-10-02,1.3211,14.77
2015-10-01,1.3226,14.58
2015-09-30,1.3408,14.68
2015-09-29,1.3412,14.61
2015-09-28,1.337,14.38
2015-09-25,1.3338,14.71
2015-09-24,1.3352,14.59
2015-09-23,1.3287,14.44
2015-09-22,1.3289,14.92
2015-09-21,1.3254,15.05
2015-09-18,1.3104,14.62
2015-09-17,1.3189,15.23
2015-09-16,1.3203,15.36
2015-09-15,1.3269,14.57
2015-09-14,1.3265,14.39
2015-09-11,1.3309,14.65
2015-09-10,1.3259,14.93
2015-09-09,1.3188,14.52
2015-09-08,1.3245,15.02
2015-09-04,1.3262,15.08
2015-09-03,1.3164,15.34
2015-09-02,1.3308,15.09
2015-09-01,1.321,14.81
2015-08-28,1.3226,14.88
2015-08-27,1.3247,13.95
2015-08-26,1.3299,12.77
2015-08-25,1.3281,12.73
2015-08-24,1.3192,12.5
2015-08-21,1.3159,13.23
2015-08-20,1.3104,13.37
2015-08-19,1.3136,13.43
2015-08-18,1.3079,14.05
2015-08-17,1.3112,13.89
2015-08-14,1.3068,13.99
2015-08-13,1.3085,14.09
2015-08-12,1.2984,14.44
2015-08-11,1.3127,14.48
2015-08-10,1.3077,14.89
2015-08-07,1.3081,14.56
2015-08-06,1.3169,14.87
2015-08-05,1.3161,15.03
2015-08-04,1.3128,15.22
2015-08-03,1.3121,15.1
2015-07-31,1.3003,15.59
2015-07-30,1.3035,16.1
2015-07-29,1.2898,16.24
2015-07-28,1.2984,15.85
2015-07-27,1.3024,15.65
2015-07-24,1.3065,16.030001000000002
2015-07-23,1.2995,16.139999
2015-07-22,1.3026,16.34
2015-07-21,1.2932,16.91
2015-07-20,1.2971,16.690001000000002
2015-07-17,1.2977,16.99
2015-07-16,1.2929,17.049999
2015-07-15,1.2895,17.23
2015-07-14,1.2732,17.719998999999994
2015-07-13,1.2771,17.51
2015-07-10,1.2728,17.67
2015-07-09,1.2738,17.709999
2015-07-08,1.2726,17.379998999999998
2015-07-07,1.2767,17.76
2015-07-06,1.2622,17.73
2015-07-02,1.2562,18.93
2015-07-01,1.2542,19.1
2015-06-30,1.2483,19.879999
2015-06-29,1.2381,19.51
2015-06-26,1.2384,19.98
2015-06-25,1.235,19.98
2015-06-24,1.2397,20.200001
2015-06-23,1.2336,20.469999
2015-06-22,1.2278,20.16
2015-06-19,1.2281,20.02
2015-06-18,1.2197,20.360001
2015-06-17,1.2319,20.209999
2015-06-16,1.2334,20.26
2015-06-15,1.2335,20.15
2015-06-12,1.2302,20.27
2015-06-11,1.2304,20.49
2015-06-10,1.226,20.639999
2015-06-09,1.233,20.209999
2015-06-08,1.2449,19.709999
2015-06-05,1.2472,19.9
2015-06-04,1.2465,19.66
2015-06-03,1.2448,20.17
2015-06-02,1.2442,20.68
2015-06-01,1.2543,20.360001
2015-05-29,1.2476,20.309999
2015-05-28,1.2503,19.559999
2015-05-27,1.248,19.48
2015-05-26,1.2419,19.690001
2015-05-22,1.2282,20.25
2015-05-21,1.2218,20.5
2015-05-20,1.2224,19.84
2015-05-19,1.2246,19.629999
2015-05-18,1.213,20.440001
2015-05-15,1.2008,20.52
2015-05-14,1.1964,20.530001
2015-05-13,1.1979,20.610001
2015-05-12,1.1996,20.74
2015-05-11,1.2088,20.379999
2015-05-08,1.2135,20.42
2015-05-07,1.2151,20.200001
2015-05-06,1.1969,20.82
2015-05-05,1.2005,20.76
2015-05-01,1.2163,20.4
2015-04-30,1.2113,20.51
2015-04-29,1.1962,20.120001
2015-04-28,1.2031,19.6
2015-04-27,1.2097,19.52
2015-04-24,1.2173,19.67
2015-04-23,1.216,19.76
2015-04-22,1.2253,19.360001
2015-04-21,1.2272,19.450001
2015-04-20,1.2199,19.889999
2015-04-17,1.2219,19.84
2015-04-16,1.2234,19.940001
2015-04-15,1.2411,19.709999
2015-04-14,1.2464,18.82
2015-04-13,1.2599,18.5
2015-04-10,1.2583,18.41
2015-04-09,1.2606,18.030001
2015-04-08,1.2532,18.07
2015-04-07,1.248,19.059999
2015-04-02,1.2579,17.559998999999998
2015-04-01,1.2644,17.58
2015-03-31,1.2666,16.84
2015-03-30,1.2697,17.23
2015-03-27,1.2579,17.139999
2015-03-26,1.247,18.209999
2015-03-25,1.2515,17.360001
2015-03-24,1.2512,16.790001
2015-03-23,1.2516,16.780001000000002
2015-03-20,1.2595,16.43
2015-03-19,1.2744,16.08
2015-03-18,1.2772,16.76
2015-03-17,1.2771,15.96
2015-03-16,1.2764,16.35
2015-03-13,1.2804,16.799999
2015-03-12,1.2693,17.440001000000002
2015-03-11,1.2764,17.77
2015-03-10,1.2635,17.91
2015-03-09,1.2599,18.35
2015-03-06,1.2596,18.24
2015-03-05,1.2482,18.709999
2015-03-04,1.2457,19.01
2015-03-03,1.2457,18.49
2015-03-02,1.2526,18.32
2015-02-27,1.2486,18.1
2015-02-26,1.2489,18.030001
2015-02-25,1.2442,18.65
2015-02-24,1.2583,18.040001
2015-02-23,1.258,18.110001
2015-02-20,1.2512,18.65
2015-02-19,1.2515,19.1
2015-02-18,1.2433,19.26
2015-02-17,1.2427,19.790001
2015-02-13,1.2451,19.620001
2015-02-12,1.2507,19.18
2015-02-11,1.2654,18.51
2015-02-10,1.2519,18.940001
2015-02-09,1.2463,19.77
2015-02-06,1.2489,19.469999
2015-02-05,1.2423,19.030001
2015-02-04,1.257,18.280001
2015-02-03,1.2489,19.620001
2015-02-02,1.2587,18.620001
2015-01-30,1.2676,17.82
2015-01-29,1.2571,16.68
